distribution_id,dtau_type,S_star_id,S,Sigma_id,distribution,tau,sigma_id,d,departure_id,stat_id,quantiles_id,zeta1_id,quantile_id,alpha,epsilon,norm,power
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.3,Supremum,0.7516
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.3,Supremum,0.6754
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.4,Euclidean,0.3322
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.4,Euclidean,0.1996
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.4,Euclidean,0.1216
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.4,Supremum,0.8618
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.4,Supremum,0.8064
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.4,Supremum,0.7374
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.5,Euclidean,0.3574
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.5,Euclidean,0.2158
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.5,Euclidean,0.1322
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.5,Supremum,0.8948
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.5,Supremum,0.8514
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.5,Supremum,0.794
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.6,Euclidean,0.3838
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.6,Euclidean,0.2368
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.6,Euclidean,0.1478
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.6,Supremum,0.9198
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.6,Supremum,0.8874
