n,d,tau,S,Sh,norm,dtau,dtau_type,distribution,rejection_rate,pvalue_NA_rate,N,psd_rate,pd_rate
50,50,0.3,I,SbJ,Euclidean,0.2,column,normal,71.44,0,2500,,1
50,50,0.3,Sh,SbJ,Supremum,0.2,column,normal,12.28,0,2500,,1
50,50,0.3,I,SbJ,Supremum,0.2,column,normal,84.64,0,2500,,1
50,50,0.6,Sh,SbJ,Euclidean,0,none,normal,0,0,2500,,1
50,50,0.6,I,SbJ,Euclidean,0,none,normal,0.6,0,2500,,1
50,50,0.6,Sh,SbJ,Supremum,0,none,normal,2.52,0,2500,,1
50,50,0.6,I,SbJ,Supremum,0,none,normal,4.16,0,2500,,1
150,50,0,Sh,SbJ,Euclidean,0.2,column,normal,44.32,0,2500,,1
150,50,0,I,SbJ,Euclidean,0.2,column,normal,99.68,0,2500,,1
150,50,0,Sh,SbJ,Supremum,0.2,column,normal,32.56,0,2500,,1
150,50,0,I,SbJ,Supremum,0.2,column,normal,99.32,0,2500,,1
50,50,0,Sh,SbJ,Euclidean,0,none,normal,4.28,0,2500,,1
50,50,0,I,SbJ,Euclidean,0,none,normal,4.36,0,2500,,1
50,50,0,Sh,SbJ,Supremum,0,none,normal,3.04,0,2500,,1
50,50,0,I,SbJ,Supremum,0,none,normal,3,0,2500,,1
50,50,0.6,Sh,SbJ,Euclidean,0.2,single,normal,0.04,0,2500,,1
50,50,0.6,I,SbJ,Euclidean,0.2,single,normal,0.76,0,2500,,1
50,50,0.6,Sh,SbJ,Supremum,0.2,single,normal,88.8,0,2500,,1
50,50,0.6,I,SbJ,Supremum,0.2,single,normal,46.76,0,2500,,1
50,50,0.3,Sh,SbJ,Euclidean,0.1,single,normal,0.88,0,2500,,1
50,50,0.3,I,SbJ,Euclidean,0.1,single,normal,3.56,0,2500,,1
50,50,0.3,Sh,SbJ,Supremum,0.1,single,normal,4.04,0,2500,,1
50,50,0.3,I,SbJ,Supremum,0.1,single,normal,5.52,0,2500,,1
150,50,0.6,Sh,SbJ,Euclidean,0,none,normal,0.28,0,2500,,1
150,50,0.6,I,SbJ,Euclidean,0,none,normal,2.16,0,2500,,1
150,50,0.6,Sh,SbJ,Supremum,0,none,normal,4.04,0,2500,,1
150,50,0.6,I,SbJ,Supremum,0,none,normal,4.84,0,2500,,1
100,50,0.6,Sh,SbJ,Euclidean,0,none,normal,0.08,0,2500,,1
100,50,0.6,I,SbJ,Euclidean,0,none,normal,2.04,0,2500,,1
100,50,0.6,Sh,SbJ,Supremum,0,none,normal,3.96,0,2500,,1
100,50,0.6,I,SbJ,Supremum,0,none,normal,4,0,2500,,1
150,50,0,Sh,SbJ,Euclidean,0,none,normal,3.92,0,2500,,1
150,50,0,I,SbJ,Euclidean,0,none,normal,4.08,0,2500,,1
150,50,0,Sh,SbJ,Supremum,0,none,normal,3.44,0,2500,,1
150,50,0,I,SbJ,Supremum,0,none,normal,3.76,0,2500,,1
150,50,0.6,Sh,SbJ,Euclidean,0.2,single,normal,25.2,0,2500,,1
150,50,0.6,I,SbJ,Euclidean,0.2,single,normal,5.36,0,2500,,1
150,50,0.6,Sh,SbJ,Supremum,0.2,single,normal,100,0,2500,,1
150,50,0.6,I,SbJ,Supremum,0.2,single,normal,100,0,2500,,1
100,50,0.6,Sh,SbJ,Euclidean,0.2,single,normal,3.56,0,2500,,1
100,50,0.6,I,SbJ,Euclidean,0.2,single,normal,3,0,2500,,1
100,50,0.6,Sh,SbJ,Supremum,0.2,single,normal,100,0,2500,,1
100,50,0.6,I,SbJ,Supremum,0.2,single,normal,99.76,0,2500,,1
150,50,0,Sh,SbJ,Euclidean,0.1,column,normal,12,0,2500,,1
150,50,0,I,SbJ,Euclidean,0.1,column,normal,62.48,0,2500,,1
150,50,0,Sh,SbJ,Supremum,0.1,column,normal,7.92,0,2500,,1
150,50,0,I,SbJ,Supremum,0.1,column,normal,38.96,0,2500,,1
150,50,0.3,Sh,SbJ,Euclidean,0,none,normal,2.56,0,2500,,1
150,50,0.3,I,SbJ,Euclidean,0,none,normal,3.8,0,2500,,1
150,50,0.3,Sh,SbJ,Supremum,0,none,normal,4.32,0,2500,,1
150,50,0.3,I,SbJ,Supremum,0,none,normal,4.84,0,2500,,1
100,50,0.3,Sh,SbJ,Euclidean,0.1,single,normal,2.12,0,2500,,1
100,50,0.3,I,SbJ,Euclidean,0.1,single,normal,4.48,0,2500,,1
100,50,0.3,Sh,SbJ,Supremum,0.1,single,normal,7.04,0,2500,,1
100,50,0.3,I,SbJ,Supremum,0.1,single,normal,5.84,0,2500,,1
100,50,0,Sh,SbJ,Euclidean,0.2,single,normal,6.56,0,2500,,1
100,50,0,I,SbJ,Euclidean,0.2,single,normal,6.44,0,2500,,1
100,50,0,Sh,SbJ,Supremum,0.2,single,normal,15,0,2500,,1
100,50,0,I,SbJ,Supremum,0.2,single,normal,14.8,0,2500,,1
50,50,0.6,Sh,SbJ,Euclidean,0.2,column,normal,3.24,0,2500,,1
50,50,0.6,I,SbJ,Euclidean,0.2,column,normal,99.68,0,2500,,1
50,50,0.6,Sh,SbJ,Supremum,0.2,column,normal,52.48,0,2500,,1
50,50,0.6,I,SbJ,Supremum,0.2,column,normal,99.92,0,2500,,1
150,50,0.3,Sh,SbJ,Euclidean,0.2,single,normal,7.6,0,2500,,1
150,50,0.3,I,SbJ,Euclidean,0.2,single,normal,6.92,0,2500,,1
